Publisher	Series	Title	ERF Level	New GSL 95%[Types Needed]	New GSL 98%[Types Needed]	NGSL 95%[Types Needed]	NGSL 98%[Types Needed]	SEWK-J 95%[Types Needed]	SEWK-J 98%[Types Needed]	BNC/COCA 95%[Types Needed]	BNC/COCA 98%[Types Needed]
Abax
	Global Issues Narratives
		Identity: Lost - Tama's Story	3	2007	Off-List[25]	"1,419"	Off-List[2]	"41,680"	"74,656"	1	2
		Identity: Pride - Hone's Story	3	2155	Off-List[23]	"1,412"	Off-List[3]	"41,680"	"57,392"	2	8
		Identity: Roots - Kylie's Story	3	1960	Off-List[21]	"1,311"	Off-List[1]	"17,299"	"29,574"	1	2
		Mine: The Boy - Clem's Story	2	Off-List[2]	Off-List[16]	"1,852"	Off-List[2]	"2,391"	"22,378"	2	3
		Mine: The Chief - Winnie's Story	2	Off-List[2]	Off-List[14]	"1,714"	Off-List[2]	"4,825"	"12,675"	2	3
		Mine: The Village - Deepa's Story	2	2304	Off-List[9]	"1,459"	Off-List[2]	"3,462"	"12,675"	2	3
		Trafficked: Haven - Ruth's Story	2	1470	Off-List[1]	"1,180"	"2,076"	"13,960"	"21,367"	1	3
		Trafficked: Mission - Magda's Story	2	1687	Off-List[5]	"1,146"	"1,852"	"13,960"	"24,057"	1	2
		Trafficked: Taken - Anya's Story	2	1878	Off-List[14]	"1,223"	"2,354"	"3,468"	"17,819"	1	2
Atama-ii Books
	Atama-ii Books
		Backstage Pass	1	Off-List[3]	Off-List[8]	"2,586"	Off-List[2]	"2,705"	"16,235"	3	9
		Brainstorm	1	Off-List[5]	Off-List[12]	Off-List[1]	Off-List[4]	"7,907"	"28,535"	3	8
		Hunter in the Darkness	1	Off-List[6]	Off-List[17]	"2,688"	Off-List[1]	"2,241"	"3,423"	2	7
		Journey to Mars	1	Off-List[4]	Off-List[13]	"2,505"	Off-List[5]	"4,282"	"22,266"	4	22
		Lost Cup_ The	1	2020	Off-List[4]	"1,664"	"2,505"	"2,415"	"16,861"	1	2
		North Fence_ The	1	Off-List[3]	Off-List[11]	"2,665"	Off-List[2]	"2,014"	"2,592"	2	5
		Ooze_ The	1	Off-List[9]	Off-List[20]	Off-List[4]	Off-List[11]	"5,122"	"21,412"	5	7
		Test of Time The	1	Off-List[4]	Off-List[12]	Off-List[1]	Off-List[4]	"3,278"	0[1]	2	Off-List[1]
		Tornado Alley	1	Off-List[3]	Off-List[13]	"2,225"	Off-List[4]	"5,048"	"12,676"	2	7
		Zombies in Tokyo	1	Off-List[3]	Off-List[11]	"2,154"	Off-List[1]	"1,408"	"1,703"	2	7
Cambridge University Press
	Cambridge English Readers
		All I Want	5	Off-List[18]	Off-List[202]	"1,865"	Off-List[17]	"3,501"	"14,228"	2	3
		Amsterdam Connection The 	4	2217	Off-List[81]	"1,612"	Off-List[5]	"2,806"	"13,750"	2	2
		Apollo's Gold	2	2308	Off-List[23]	"1,451"	Off-List[1]	"2,492"	"7,556"	1	3
		Arman's Journey	1	1811	Off-List[6]	"1,329"	"2,111"	"1,283"	"11,680"	1	2
		Bad Company	2	1618	Off-List[23]	"1,106"	"2,653"	"4,022"	"11,210"	2	5
		Bad Love	2	1400	2438	946	"1,664"	"6,457"	"14,492"	1	2
		Beast The	3	2189	Off-List[53]	"1,597"	"2,776"	"1,907"	"11,598"	1	2
		Berlin Express	4	Off-List[9]	Off-List[141]	"1,863"	Off-List[10]	"2,324"	"5,057"	2	4
		Best of Times? The	5	Off-List[36]	Off-List[358]	"2,124"	Off-List[74]	"3,036"	"10,582"	2	4
		Big Hair Day	1	1703	Off-List[2]	"1,235"	"1,811"	"1,530"	"11,210"	1	2
		Big Picture The	2	1878	Off-List[7]	"1,273"	Off-List[2]	"1,396"	"3,815"	2	5
		Black Pearls The	1	1996	Off-List[5]	"1,257"	Off-List[1]	"4,246"	"12,991"	2	4
		Blood Diamonds	2	1777	Off-List[6]	"1,510"	Off-List[1]	"4,022"	"23,016"	1	4
		Book Boy	1	1873	Off-List[6]	"1,101"	"2,361"	"11,565"	"16,528"	1	2
		Caribbean File The	2	1992	Off-List[12]	"1,393"	"2,331"	"4,379"	"22,167"	2	4
		Circle Games	2	2314	Off-List[22]	"1,586"	Off-List[1]	"2,988"	"16,581"	1	3
		Dark Side of the City The	2	2077	Off-List[26]	"1,714"	Off-List[2]	"3,125"	"12,503"	2	5
		Dead Cold	2	2017	Off-List[20]	"1,440"	"2,669"	"4,607"	"14,696"	2	4
		Death in Oxford A	1	1554	Off-List[3]	"1,180"	Off-List[1]	"12,883"	"14,322"	1	2
		Death in the Dojo	5	Off-List[25]	Off-List[242]	"2,001"	Off-List[34]	"3,685"	"11,680"	2	4
		Different Worlds	2	1855	Off-List[14]	"1,351"	Off-List[2]	"2,492"	"11,548"	1	2
		Dirty Money	1	Off-List[1]	Off-List[10]	"1,438"	"2,778"	"11,531"	"12,189"	2	3
		Dolphin Music	5	Off-List[6]	Off-List[122]	"2,187"	Off-List[8]	"3,408"	"11,623"	2	4
		Don't Stop Now!	2	2011	Off-List[4]	"1,440"	Off-List[2]	"7,662"	"17,829"	2	8
		Double Bass Mystery The	2	2163	Off-List[16]	"1,391"	Off-List[2]	"4,404"	"12,724"	2	4
		Double Cross	3	2407	Off-List[67]	"1,663"	Off-List[5]	"3,032"	"23,016"	2	3
		Dragon's Eggs	5	Off-List[16]	Off-List[219]	"2,109"	Off-List[19]	"2,492"	"8,196"	2	3
		East 43rd Street	5	Off-List[23]	Off-List[213]	"2,166"	Off-List[35]	"4,466"	"15,450"	3	6
		Emergency Murder	5	Off-List[9]	Off-List[94]	"2,081"	Off-List[14]	"3,382"	"12,916"	2	4
		Eye of the Storm The	3	Off-List[6]	Off-List[80]	"2,082"	Off-List[5]	"2,318"	"5,770"	2	4
		Forget to Remember	5	Off-List[64]	Off-List[334]	"2,617"	Off-List[118]	"7,349"	"14,828"	2	33
